No,Number of nodes,Time,Distance,Cities
1,10,4.1882,11.87 km,London
2,15,8.3679,17.25 km,London
3,20,11.5317,22.39 km,London
4,25,21.2663,26.02 km,London
5,30,20.235,27.72 km,London
6,40,31.402,33.44 km,London
7,50,31.2182,37.81 km,London
